iter	Logloss
0	0.6673226725
1	0.6466985738
2	0.6265289427
3	0.6085325607
4	0.5941879365
5	0.5793614222
6	0.5663761477
7	0.5550491451
8	0.5465127059
9	0.5373441527
10	0.5294373422
11	0.5216159442
12	0.5153707306
13	0.5083963703
14	0.5023548458
15	0.4970885378
16	0.4920022412
17	0.4877180522
18	0.484116726
19	0.4800343066
20	0.4761375031
21	0.4729339656
22	0.4695027531
23	0.46651144
24	0.463721108
25	0.4609657654
26	0.4588770119
27	0.4564988741
28	0.4544358893
29	0.4517227087
30	0.4499672241
31	0.4478647166
32	0.4460867799
33	0.444196171
34	0.4426734947
35	0.441097516
36	0.4385381413
37	0.4369512365
38	0.4352659449
39	0.4337572712
40	0.4326744345
41	0.4315673117
42	0.4305097122
43	0.4290529698
44	0.4277707288
45	0.4261800619
46	0.424825734
47	0.4236249463
48	0.422699386
49	0.4217369939
50	0.4204374853
51	0.4192571273
52	0.4178860117
53	0.4162120919
54	0.4151448088
55	0.4141559626
56	0.4127669881
57	0.4117422099
58	0.410736396
59	0.4100184325
60	0.4090918954
61	0.4081470708
62	0.4073907073
63	0.4063955025
64	0.4048548817
65	0.4034195375
66	0.4027017968
67	0.4020765127
68	0.400875905
69	0.3998861504
70	0.3988206155
71	0.3980673199
72	0.3973918956
73	0.3965776792
74	0.3958549082
75	0.3950540945
76	0.3943516333
77	0.3937942199
78	0.393249995
79	0.3924127438
80	0.3917498481
81	0.3912264557
82	0.3905199754
83	0.3894696428
84	0.3890342081
85	0.3883760684
86	0.3877619248
87	0.3871045307
88	0.3864625361
89	0.3854150572
90	0.3848653649
91	0.3844708325
92	0.383945692
93	0.383514362
94	0.3824198878
95	0.3819399258
96	0.3814791681
97	0.3811816513
98	0.3808458715
99	0.3804275587
100	0.3798678315
101	0.379311018
102	0.3785993702
103	0.3783542904
104	0.3779328925
105	0.3776887553
106	0.3766130226
107	0.3762155766
108	0.3757341149
109	0.3752399275
110	0.375025715
111	0.3747176662
112	0.3741869898
113	0.3737789603
114	0.3733164459
115	0.3728606156
116	0.3726564981
117	0.3724337333
118	0.3721288038
119	0.3718082864
120	0.3713288557
121	0.3710843842
122	0.3705633913
123	0.3701106204
124	0.3699180289
125	0.3696996945
126	0.3693957934
127	0.3688756317
128	0.3684718442
129	0.3677328511
130	0.3673887589
131	0.3671508432
132	0.3665701464
133	0.3662546936
134	0.3654842417
135	0.3647139356
136	0.3642489274
137	0.3640779825
138	0.3636766544
139	0.363098957
140	0.3627812589
141	0.362461787
142	0.3622086089
143	0.3617186634
144	0.3614055843
145	0.3609029216
146	0.36068481
147	0.3603417376
148	0.360000859
149	0.3596651478
150	0.3593610239
151	0.3591034068
152	0.3589482812
153	0.3587626396
154	0.3585006349
155	0.3581437656
156	0.357716926
157	0.3571764289
158	0.3565225483
159	0.3562370288
160	0.3558887462
161	0.3553263881
162	0.3548382079
163	0.3545638374
164	0.3543175064
165	0.3542122812
166	0.3539840747
167	0.3536989237
168	0.353219433
169	0.3529654151
170	0.352591501
171	0.3523167448
172	0.352005264
173	0.3517891877
174	0.35121886
175	0.3510060572
176	0.3506609496
177	0.3504424823
178	0.3499944547
179	0.3497193429
180	0.3493842358
181	0.3492637312
182	0.3489069861
183	0.3486208796
184	0.3480976286
185	0.3477447741
186	0.3475488447
187	0.3473690603
188	0.3472056009
189	0.3465842117
190	0.3462712612
191	0.345880945
192	0.3455808573
193	0.3454078986
194	0.3451836898
195	0.3448413929
196	0.3446467618
197	0.3443356794
198	0.3440773339
199	0.3438267524
200	0.3436768586
201	0.3426309865
202	0.3423966699
203	0.3420622998
204	0.3417647787
205	0.3415684209
206	0.3413447648
207	0.3412376843
208	0.3410706643
209	0.3409539002
210	0.3408940549
211	0.3406522314
212	0.3404305635
213	0.3397522684
214	0.3395450529
215	0.3393540596
216	0.3392361087
217	0.3385986088
218	0.3383833037
219	0.3380640631
220	0.3377699399
221	0.3374384577
222	0.3371016068
223	0.336962879
224	0.336750749
225	0.3365709732
226	0.3362186799
227	0.3360602851
228	0.3359032742
229	0.3357544473
230	0.3352614682
231	0.3350152442
232	0.3343925182
233	0.3340893626
234	0.3338468236
235	0.3337123421
236	0.3334747991
237	0.333259464
238	0.3329271978
239	0.3319845199
240	0.3317775444
241	0.3314029447
242	0.3311662244
243	0.3306382002
244	0.3299377914
245	0.3297649998
246	0.329573518
247	0.3293959446
248	0.3288063012
249	0.328515023
250	0.3281873757
251	0.327577444
252	0.3270959351
253	0.3268310425
254	0.3263502235
255	0.326042012
256	0.3257918161
257	0.3253584209
258	0.3248942011
259	0.3246143118
260	0.323989182
261	0.3234065999
262	0.3231282445
263	0.3225605734
264	0.32166229
265	0.3212867905
266	0.3209276673
267	0.3203102672
268	0.319990204
269	0.3196959179
270	0.3193935422
271	0.3190066623
272	0.3188561729
273	0.3184077553
274	0.3181620756
275	0.3171534637
276	0.3167834016
277	0.3162127397
278	0.3157702522
279	0.3149938232
280	0.314573715
281	0.3142877328
282	0.3138551088
283	0.3134176688
284	0.3128585243
285	0.31249851
286	0.3119277795
287	0.3113464186
288	0.3106000771
289	0.3103940486
290	0.3100874395
291	0.3096458004
292	0.3092747999
293	0.3088180913
294	0.3082923209
295	0.3079958838
296	0.3076198059
297	0.3074027826
298	0.3070047838
299	0.3066439297
300	0.3063729827
301	0.3060390325
302	0.3057544214
303	0.3051174657
304	0.3048608641
305	0.30455755
306	0.3041370005
307	0.3037852985
308	0.303396662
309	0.3030348994
310	0.3028070614
311	0.3024614182
312	0.3015823005
313	0.3013385274
314	0.3011089327
315	0.3007207931
316	0.3002222867
317	0.2998249649
318	0.2991605866
319	0.2988699897
320	0.2984387626
321	0.2978967529
322	0.297411752
323	0.29722761
324	0.2968181195
325	0.2964341533
326	0.2961321204
327	0.2957409301
328	0.2952893674
329	0.2948587659
330	0.2945145323
331	0.2940213518
332	0.2937820863
333	0.2933205231
334	0.2930608793
335	0.2928155723
336	0.2923709467
337	0.2918551941
338	0.2915236905
339	0.2912722392
340	0.2910542733
341	0.2907450805
342	0.2904903042
343	0.2901571039
344	0.2897700099
345	0.289629054
346	0.2893867935
347	0.2890656848
348	0.2887938894
349	0.2885834304
350	0.2882284164
351	0.2879092101
352	0.2874768089
353	0.2871367059
354	0.2866623183
355	0.2863458671
356	0.2860771825
357	0.2858445541
358	0.2855229955
359	0.2850611966
360	0.284412025
361	0.2837557278
362	0.2834191426
363	0.2830353563
364	0.2827357271
365	0.2824416253
366	0.2821775982
367	0.2819603478
368	0.2816924944
369	0.2813808251
370	0.2811410883
371	0.2809784472
372	0.280628922
373	0.2803248409
374	0.2798079657
375	0.2794947023
376	0.2791354978
377	0.2789777243
378	0.2786373212
379	0.2783420239
380	0.2779895422
381	0.2777054281
382	0.2775674588
383	0.2772039694
384	0.2769041689
385	0.2765887375
386	0.2762690041
387	0.2759144529
388	0.2754979996
389	0.2751800787
390	0.2750706759
391	0.274843005
392	0.2745535778
393	0.2743101647
394	0.2739624133
395	0.2737455915
396	0.2734117527
397	0.2732469436
398	0.2730611434
399	0.2725164043
